; eseguito tweet meteo
2015-09-02 23:16:41;/Users/TeoPro/Documents/git/xml_parser/TwitterBot/../data/risk.xml eseguito tweet rischi
2015-09-04 08:25:01;/Users/TeoPro/Documents/git/xml_parser/TwitterBot/../data/meteo.xml eseguito tweet meteo
2015-09-04 08:26:18;/Users/TeoPro/Documents/git/xml_parser/TwitterBot/../data/meteo.xml eseguito tweet meteo
2015-09-04 08:29:30;/Users/TeoPro/Documents/git/xml_parser/TwitterBot/../data/meteo.xml eseguito tweet meteo
2015-09-04 08:31:36;/Users/TeoPro/Documents/git/xml_parser/TwitterBot/../data/meteo.xml eseguito tweet meteo
2015-09-04 19:57:03;/Users/TeoPro/Documents/git/xml_parser/TwitterBot/../data/risk.xml eseguito tweet rischi
2015-09-04 20:04:39;/Users/TeoPro/Documents/git/xml_parser/TwitterBot/../data/risk.xml eseguito tweet rischi
2015-09-04 20:06:16;/Users/TeoPro/Documents/git/xml_parser/TwitterBot/../data/risk.xml eseguito tweet rischi
2015-09-04 20:10:18;/Users/TeoPro/Documents/git/xml_parser/TwitterBot/../data/risk.xml eseguito tweet rischi
2015-09-04 20:13:14;/Users/TeoPro/Documents/git/xml_parser/TwitterBot/../data/risk.xml eseguito tweet rischi
2015-09-04 20:15:54;/Users/TeoPro/Documents/git/xml_parser/TwitterBot/../data/risk.xml eseguito tweet rischi
2015-09-04 20:19:20;/Users/TeoPro/Documents/git/xml_parser/TwitterBot/../data/risk.xml eseguito tweet rischi
2015-09-04 20:22:20;/Users/TeoPro/Documents/git/xml_parser/TwitterBot/../data/risk.xml eseguito tweet rischi
2015-09-04 20:24:14;/Users/TeoPro/Documents/git/xml_parser/TwitterBot/../data/risk.xml eseguito tweet rischi
